Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
1,29/09/2003,2.0,3.0,5.0,006,9.0,10.0,11.0,13.0,14.0,16.0,20.0,23.0,24.0,25.0,"R$0,00",BA PR SP,,BA,,PR,,SP,154,4645,48807,257593,"R$49= .765,82","R$689,84","R$10,00","R$4,00"
2,06/10/2003,1.0,4.0,5.0,006,7.0,9.0,11.0,12.0,13.0,15.0,19.0,20.0,23.0,24.0,"R$0,00",SP,,SP,184,6232,81252,478188,"R$59= 6.323,70","R$1.388,95","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00","R$0,00","R$0,00"
3,13/10/2003,1.0,4.0,6.0,007,8.0,9.0,10.0,11.0,12.0,14.0,17.0,20.0,23.0,24.0,"R$0,00",SP,,SP,158,6897,96244,608211,"R$40= 0.623,70","R$2.173,36","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00","R$0,00","R$0,00"
4,20/10/2003,1.0,2.0,4.0,005,8.0,10.0,12.0,13.0,16.0,17.0,19.0,23.0,24.0,25.0,"R$0,00",MT,,MT,258,9569,123912,706657,"R$9= 02.226,02","R$1.498,72","R$10,00","R$4,00","R$2,00<= /td>","R$0,00","R$0,00","R$0,00"
5,27/10/2003,1.0,2.0,4.0,008,9.0,11.0,12.0,13.0,15.0,16.0,20.0,23.0,24.0,25.0,"R$0,00",BA MS,,BA,,MS,472,14736,195636,860992,"R$= 380.017,55","R$687,49","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00"
6,03/11/2003,1.0,2.0,4.0,005,6.0,7.0,10.0,12.0,15.0,16.0,19.0,21.0,23.0,25.0,"R$0,00",RJ RS,,RJ,,RS,393,14242,162320,888301,"R$= 489.140,06","R$1.066,83","R$10,00","R$4,00","R$2,00=","R$0,00"
7,10/11/2003,1.0,4.0,7.0,008,10.0,12.0,14.0,15.0,16.0,18.0,21.0,22.0,23.0,25.0,"R$0,00",BA DF GO MG RJ RS SP,,BA,,DF,,GO,,MG,,RJ,,RS,,SP
8,17/11/2003,1.0,5.0,6.0,008,9.0,10.0,13.0,15.0,16.0,17.0,19.0,20.0,22.0,25.0,"R$0,00",BA,,BA,256,11414,149037,926910,"R$= 1.201.958,08","R$2.012,21","R$10,00","R$4,00","R$2,= 00","R$0,00","R$0,00","R$0,00"
9,24/11/2003,3.0,4.0,5.0,009,10.0,11.0,13.0,15.0,16.0,17.0,20.0,21.0,24.0,25.0,"R$0,00",PR SP,,PR,,SP,407,14973,213511,1104328,"R= $336.053,65","R$1.061,60","R$10,00","R$4,00","R$2,0= 0","R$0,00"
10,01/12/2003,2.0,3.0,4.0,005<!--= td-->,6.0,8.0,9.0,10.0,11.0,12.0,14.0,19.0,20.0,23.0,024,"R$0,00",0.0,,380,15767,207355,1186563,"R= $0,00","R$1.157,08","R$10,00","R$4,00","R$2,00","R$1.025.945,00","R$0,00","R$0,00"
11,08/12/2003,2.0,6.0,7.0,008<!--= td-->,9.0,10.0,11.0,12.0,16.0,19.0,20.0,22.0,23.0,24.0,025,"R$0,00",0.0,,306,14249,216679,1343171,"R= $0,00","R$1.855,82","R$10,00","R$4,00","R$2,00","R$2.351.000,93","R$0,00","R$0,00"
12,15/12/2003,1.0,2.0,4.0,005<!--= td-->,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,24.0,025,"R$0,00",1.0,GO,,GO,631,24400,322557,1607584,"R= $3.490.966,18","R$771,32","R$10,00","R$4,00","R$2,0= 0","R$0,00"
13,22/12/2003,3.0,5.0,6.0,007<!--= td-->,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,19.0,023,"R$0,00",3.0,PR RJ SP,,PR,,RJ,,SP,714,27399,320961,1501354,"R= $269.157,25","R$482,84"
14,29/12/2003,1.0,2.0,5.0,006<!--= td-->,7.0,9.0,13.0,14.0,15.0,18.0,19.0,20.0,21.0,23.0,025,"R$0,00",3.0,RS SP,,RS,,SP,444,15413,214582,1149506,"R= $411.362,89","R$1.191,21","R$10,00","R$4,00"
15,05/01/2004,1.0,2.0,4.0,006<!--= td-->,8.0,10.0,12.0,15.0,16.0,18.0,19.0,21.0,23.0,24.0,025,"R$0,00",22.0,DF ES GO MG MT PE PR RJ SP,,DF,,ES,,GO,,MG,,MT,,PE
16,12/01/2004,2.0,5.0,6.0,007<!--= td-->,8.0,10.0,12.0,13.0,15.0,17.0,19.0,21.0,23.0,24.0,025,"R$0,00",9.0,AL DF MG PR RO RS SP,,AL,,DF,,MG,,PR,,RO,,RS
17,19/01/2004,1.0,2.0,3.0,005<!--= td-->,6.0,7.0,9.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,021,"R$0,00",1.0,SP,,SP,320,14425,232740,1083387,"R= $1.427.169,94","R$1.911,39","R$10,00","R$4,00","R$2= ,00","R$0,00"
18,26/01/2004,2.0,6.0,7.0,008<!--= td-->,10.0,11.0,14.0,15.0,17.0,18.0,19.0,20.0,22.0,23.0,024,"R$0,00",3.0,MT RJ TO,,MT,,RJ,,TO,309,12373,174339,1079894,"R= $487.887,61","R$2.030,05"
19,02/02/2004,2.0,5.0,6.0,007<!--= td-->,8.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,20.0,23.0,024,"R$0,00",10.0,GO MG MT PA PI RJ SP,,GO,,MG,,MT,,PA,,PI,,RJ
20,09/02/2004,3.0,4.0,6.0,007<!--= td-->,8.0,9.0,10.0,14.0,16.0,17.0,18.0,19.0,20.0,23.0,024,"R$0,00",9.0,BA MA MG MS PA PE PR SP,,BA,,MA,,MG,,MS,,PA,,PE
21,16/02/2004,1.0,2.0,4.0,005<!--= td-->,8.0,11.0,14.0,16.0,18.0,19.0,20.0,22.0,23.0,24.0,025,"R$0,00",3.0,BA GO RJ,,BA,,GO,,RJ,316,13077,203475,1211951,"R= $530.990,23","R$2.160,45"
22,25/02/2004,1.0,2.0,3.0,004<!--= td-->,5.0,6.0,7.0,9.0,10.0,12.0,13.0,14.0,15.0,22.0,025,"R$0,00",1.0,BA,,BA,484,55372,152738,868693,"R$= 1.081.149,89","R$957,34","R$10,00","R$4,00","R$2,00=","R$0,00"
23,01/03/2004,1.0,3.0,4.0,005<!--= td-->,6.0,8.0,10.0,11.0,12.0,14.0,16.0,17.0,18.0,19.0,020,"R$0,00",1.0,SE,,SE,541,16248,215670,1187602,"R= $1.178.452,05","R$933,55","R$10,00","R$4,00","R$2,0= 0","R$0,00"
24,08/03/2004,1.0,2.0,3.0,005<!--= td-->,7.0,10.0,11.0,14.0,17.0,19.0,20.0,21.0,23.0,24.0,025,"R$0,00",2.0,RJ RO,,RJ,,RO,585,22453,258724,1286374,"R= $662.295,89","R$970,40","R$10,00","R$4,00"
25,15/03/2004,1.0,2.0,3.0,004<!--= td-->,5.0,6.0,7.0,9.0,13.0,14.0,16.0,20.0,22.0,23.0,024,"R$0,00",0.0,,417,16108,213231,1288117,"R= $0,00","R$1.437,73","R$10,00","R$4,00","R$2,00","R$1.398.910,67","R$0,00","R$0,00"
26,22/03/2004,5.0,7.0,8.0,009<!--= td-->,10.0,11.0,13.0,14.0,16.0,17.0,19.0,20.0,21.0,22.0,023,"R$0,00",3.0,PE SP,,PE,,SP,602,22397,317722,1659205,"R= $970.676,17","R$1.077,21","R$10,00","R$4,00"
27,29/03/2004,3.0,6.0,8.0,010<!--= td-->,11.0,12.0,13.0,14.0,15.0,18.0,20.0,21.0,22.0,24.0,025,"R$0,00",2.0,DF SP,,DF,,SP,466,15650,216827,1192912,"R= $811.005,39","R$1.491,73","R$10,00","R$4,00"
28,05/04/2004,1.0,3.0,7.0,009<!--= td-->,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,021,"R$0,00",2.0,GO MT,,GO,,MT,556,22300,307113,1363336,"R= $536.916,65","R$827,73","R$10,00","R$4,00"
29,12/04/2004,1.0,4.0,5.0,006<!--= td-->,8.0,9.0,13.0,14.0,16.0,17.0,19.0,20.0,21.0,22.0,024,"R$0,00",5.0,CE MG RJ RS SP,,CE,,MG,,RJ,,RS,,SP,456,14375
30,19/04/2004,1.0,2.0,3.0,004<!--= td-->,6.0,7.0,8.0,11.0,14.0,17.0,19.0,20.0,21.0,22.0,023,"R$0,00",2.0,MG SP,,MG,,SP,345,13480,184916,1136035,"R= $813.271,34","R$2.020,55","R$10,00","R$4,00"
31,26/04/2004,1.0,2.0,3.0,004<!--= td-->,9.0,13.0,14.0,15.0,17.0,19.0,20.0,21.0,22.0,24.0,025,"R$0,00",3.0,DF ES SP,,DF,,ES,,SP,250,13005,189635,1161305,"R= $503.451,70","R$2.589,18"
32,03/05/2004,1.0,2.0,4.0,006<!--= td-->,7.0,9.0,10.0,11.0,14.0,15.0,16.0,17.0,20.0,22.0,023,"R$0,00",2.0,BA SP,,BA,,SP,384,14060,199525,1175480,"R= $706.634,89","R$1.577,31","R$10,00","R$4,00"
33,10/05/2004,1.0,2.0,5.0,007<!--= td-->,8.0,10.0,11.0,12.0,14.0,16.0,19.0,20.0,21.0,23.0,024,"R$0,00",9.0,BA ES GO MA PR RJ SE SP,,BA,,ES,,GO,,MA,,PR,,RJ
34,17/05/2004,1.0,2.0,4.0,007<!--= td-->,8.0,9.0,10.0,11.0,15.0,16.0,18.0,19.0,20.0,21.0,023,"R$0,00",0.0,,407,16589,216210,1359006,"R= $0,00","R$1.381,20","R$10,00","R$4,00","R$2,00","R$1.311.675,01","R$0,00","R$0,00"
35,24/05/2004,1.0,4.0,5.0,006<!--= td-->,11.0,12.0,13.0,14.0,16.0,17.0,19.0,21.0,22.0,23.0,025,"R$0,00",1.0,RS,,RS,291,12750,191524,1338198,"R= $3.155.820,04","R$2.715,98","R$10,00","R$4,00","R$2= ,00","R$0,00"
36,31/05/2004,1.0,4.0,5.0,007<!--= td-->,8.0,10.0,11.0,14.0,17.0,19.0,20.0,21.0,22.0,23.0,024,"R$0,00",6.0,BA DF PE PR RS SP,,BA,,DF,,PE,,PR,,RS,,SP
37,07/06/2004,1.0,3.0,4.0,005<!--= td-->,8.0,9.0,10.0,11.0,13.0,15.0,20.0,21.0,22.0,23.0,024,"R$0,00",1.0,MT,,MT,283,11976,182815,1220504,"R= $1.371.528,32","R$2.077,02","R$10,00","R$4,00","R$2= ,00","R$0,00"
38,14/06/2004,1.0,2.0,3.0,006<!--= td-->,7.0,8.0,9.0,10.0,13.0,14.0,15.0,16.0,22.0,24.0,025,"R$0,00",0.0,,298,12361,181763,1122407,"R= $0,00","R$2.240,91","R$10,00","R$4,00","R$2,00","R$1.558.182,50","R$0,00","R$0,00"
39,21/06/2004,2.0,7.0,8.0,009<!--= td-->,11.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0,23.0,024,"R$0,00",3.0,RJ SP,,RJ,,SP,915,31607,352332,1626512,"R= $888.003,60","R$516,00","R$10,00","R$4,00"
40,28/06/2004,1.0,2.0,5.0,007<!--= td-->,8.0,10.0,12.0,13.0,14.0,16.0,17.0,20.0,21.0,22.0,024,"R$0,00",9.0,BA DF MG RS SC SP,,BA,,DF,,MG,,RS,,SC,,SP
41,05/07/2004,2.0,3.0,4.0,009<!--= td-->,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,23.0,025,"R$0,00",5.0,DF RS SP,,DF,,RS,,SP,431,16555,218669,1304019,"R= $285.091,61","R$1.417,43"
42,12/07/2004,1.0,3.0,4.0,005<!--= td-->,6.0,8.0,11.0,12.0,14.0,15.0,17.0,21.0,22.0,24.0,025,"R$0,00",1.0,SP,,SP,351,14288,205537,1065540,"R= $1.731.431,15","R$2.114,08","R$10,00","R$4,00","R$2= ,00","R$0,00"
43,19/07/2004,1.0,3.0,6.0,007<!--= td-->,8.0,9.0,10.0,14.0,17.0,18.0,19.0,20.0,22.0,23.0,024,"R$0,00",2.0,MS,,MS,448,31225,257520,1394077,"R= $550.553,79","R$1.053,36","R$10,00","R$4,00","R$2,0= 0","R$0,00"
44,26/07/2004,3.0,4.0,5.0,006<!--= td-->,10.0,11.0,12.0,13.0,14.0,18.0,19.0,21.0,23.0,24.0,025,"R$0,00",0.0,,334,12675,172526,1140441,"R= $0,00","R$2.056,93","R$10,00","R$4,00","R$2,00","R$1.603.036,94","R$0,00","R$0,00"
45,02/08/2004,1.0,2.0,3.0,005<!--= td-->,7.0,9.0,14.0,16.0,17.0,18.0,19.0,21.0,23.0,24.0,025,"R$0,00",4.0,MG PA SP,,MG,,PA,,SP,602,23232,353114,1591989,"R= $731.525,88","R$941,91"
46,09/08/2004,1.0,2.0,4.0,005<!--= td-->,6.0,8.0,10.0,11.0,14.0,18.0,19.0,21.0,23.0,24.0,025,"R$0,00",4.0,DF SP,,DF,,SP,825,24898,340899,1460500,"R= $308.549,13","R$638,71","R$10,00","R$4,00"
47,16/08/2004,1.0,2.0,3.0,004<!--= td-->,5.0,6.0,8.0,10.0,11.0,13.0,15.0,18.0,20.0,22.0,025,"R$0,00",16.0,BA MT PA PE PR RJ SE SP,,BA,,MT,,PA,,PE,,PR,,RJ
48,23/08/2004,2.0,5.0,6.0,007<!--= td-->,11.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,023,"R$0,00",2.0,DF GO,,DF,,GO,331,13606,193466,1299636,"R= $777.343,31","R$2.012,97","R$10,00","R$4,00"
49,30/08/2004,2.0,4.0,5.0,006<!--= td-->,8.0,11.0,13.0,15.0,16.0,19.0,20.0,21.0,22.0,23.0,024,"R$0,00",0.0,,673,22438,282506,1269761,"R= $0,00","R$806,00","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00",
50,06/09/2004,1.0,2.0,3.0,006<!--= td-->,7.0,9.0,10.0,11.0,12.0,13.0,19.0,20.0,21.0,23.0,025,"R$0,00",1.0,SP,,SP,659,21583,298054,1545777,"R= $2.776.089,01","R$982,27","R$10,00","R$4,00","R$2,0= 0","R$0,00"
51,13/09/2004,1.0,3.0,5.0,006<!--= td-->,7.0,8.0,11.0,13.0,14.0,16.0,17.0,20.0,21.0,22.0,023,"R$0,00",2.0,GO SP,,GO,,SP,765,22722,302341,1520867,"R= $545.229,30","R$608,58","R$10,00","R$4,00"
52,20/09/2004,1.0,2.0,4.0,008<!--= td-->,9.0,11.0,12.0,13.0,15.0,16.0,21.0,22.0,23.0,24.0,025,"R$0,00",3.0,MA SC SP,,MA,,SC,,SP,420,24265,205595,1156747,"R= $532.065,25","R$1.628,77"
53,27/09/2004,1.0,2.0,3.0,006<!--= td-->,7.0,9.0,11.0,12.0,14.0,17.0,18.0,19.0,20.0,23.0,024,"R$0,00",4.0,AM RJ SP,,AM,,RJ,,SP,564,19767,262234,1425498,"R= $269.887,95","R$820,33"
54,04/10/2004,2.0,4.0,5.0,006<!--= td-->,7.0,8.0,9.0,12.0,14.0,16.0,18.0,20.0,21.0,22.0,024,"R$0,00",27.0,BA ES GO MG MS MT PA PR RJ RO RS SP,,BA,,ES,,GO,,MG,,MS,,MT
55,11/10/2004,2.0,3.0,4.0,005<!--= td-->,6.0,7.0,8.0,9.0,12.0,13.0,15.0,16.0,18.0,19.0,025,"R$0,00",6.0,MA RS SP,,MA,,RS,,SP,682,24083,253488,1334310,"R= $213.174,74","R$803,76"
56,18/10/2004,1.0,2.0,5.0,009<!--= td-->,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,22.0,23.0,024,"R$0,00",0.0,,401,17323,225472,1396834,"R= $0,00","R$1.427,28","R$10,00","R$4,00","R$2,00","R$1.335.461,47","R$0,00","R$0,00"
57,25/10/2004,1.0,2.0,3.0,004<!--= td-->,6.0,7.0,8.0,11.0,12.0,17.0,19.0,20.0,21.0,22.0,025,"R$0,00",1.0,MG,,MG,571,33796,229355,1390034,"R= $3.278.857,27","R$1.458,64","R$10,00","R$4,00","R$2= ,00","R$0,00"
58,01/11/2004,3.0,4.0,5.0,006<!--= td-->,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,022,"R$0,00",6.0,DF MG PR RJ SP,,DF,,MG,,PR,,RJ,,SP,559,17361
59,08/11/2004,1.0,3.0,5.0,006<!--= td-->,7.0,8.0,10.0,11.0,13.0,14.0,15.0,19.0,20.0,23.0,025,"R$0,00",2.0,MG SP,,MG,,SP,662,27187,351810,1707263,"R= $439.884,44","R$567,39","R$10,00","R$4,00"
60,16/11/2004,1.0,2.0,3.0,004<!--= td-->,5.0,8.0,11.0,16.0,17.0,18.0,19.0,22.0,23.0,24.0,025,"R$0,00",3.0,MG PR SP,,MG,,PR,,SP,362,30873,165747,1022631,"R= $485.556,53","R$1.724,55"
61,22/11/2004,1.0,4.0,5.0,009<!--= td-->,11.0,12.0,13.0,14.0,15.0,16.0,19.0,20.0,22.0,23.0,025,"R$0,00",2.0,ES TO,,ES,,TO,300,14553,253317,1311870,"R= $698.017,29","R$1.994,34","R$10,00","R$4,00"
62,29/11/2004,1.0,3.0,7.0,008<!--= td-->,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,24.0,025,"R$0,00",5.0,GO MT PR SP,,GO,,MT,,PR,,SP,432,19513,234116,1336449
63,06/12/2004,4.0,8.0,9.0,010<!--= td-->,11.0,12.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0,24.0,025,"R$0,00",2.0,GO RJ,,GO,,RJ,379,15221,209528,1301392,"R= $870.856,42","R$1.969,52","R$10,00","R$4,00"
64,13/12/2004,1.0,2.0,3.0,006<!--= td-->,7.0,8.0,9.0,10.0,13.0,14.0,17.0,18.0,20.0,23.0,025,"R$0,00",4.0,PA RO SP,,PA,,RO,,SP,525,20308,280806,1586899,"R= $323.455,35","R$1.056,18"
65,20/12/2004,1.0,2.0,4.0,007<!--= td-->,10.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,025,"R$0,00",0.0,,300,13067,218281,1147456,"R= $0,00","R$2.735,19","R$10,00","R$4,00","R$2,00","R$1.914.633,24","R$0,00","R$0,00"
66,27/12/2004,1.0,2.0,4.0,008<!--= td-->,10.0,11.0,14.0,15.0,16.0,17.0,20.0,21.0,22.0,23.0,024,"R$0,00",8.0,BA CE MG PR SP,,BA,,CE,,MG,,PR,,SP,834,25470
67,03/01/2005,5.0,7.0,8.0,009<!--= td-->,10.0,11.0,12.0,13.0,15.0,16.0,20.0,21.0,22.0,23.0,024,"R$0,00",4.0,DF PR SP TO,,DF,,PR,,SP,,TO,294,12324,205063,1212285
68,10/01/2005,1.0,2.0,3.0,005<!--= td-->,6.0,7.0,8.0,9.0,10.0,12.0,16.0,17.0,22.0,23.0,025,"R$0,00",2.0,RS SP,,RS,,SP,368,14579,211030,1291340,"R= $853.689,74","R$1.988,41","R$10,00","R$4,00"
69,17/01/2005,1.0,4.0,7.0,008<!--= td-->,9.0,10.0,11.0,15.0,17.0,18.0,19.0,20.0,21.0,23.0,024,"R$0,00",4.0,DF RS SC SP,,DF,,RS,,SC,,SP,619,34720,283047,1543014
70,24/01/2005,1.0,2.0,3.0,005<!--= td-->,6.0,9.0,10.0,12.0,14.0,15.0,16.0,19.0,20.0,24.0,025,"R$0,00",6.0,MG PE PR RS SP,,MG,,PE,,PR,,RS,,SP,611,19413
71,31/01/2005,1.0,3.0,5.0,006<!--= td-->,8.0,9.0,11.0,13.0,14.0,15.0,16.0,18.0,21.0,22.0,023,"R$0,00",4.0,GO PE RS SP,,GO,,PE,,RS,,SP,744,21490,276234,1289869
72,09/02/2005,1.0,2.0,5.0,007<!--= td-->,8.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,23.0,24.0,025,"R$0,00",2.0,RS SP,,RS,,SP,485,16561,198957,1178585,"R= $571.665,39","R$1.010,31","R$10,00","R$4,00"
73,14/02/2005,1.0,2.0,5.0,007<!--= td-->,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,025,"R$0,00",3.0,PA PR SC,,PA,,PR,,SC,401,16615,240646,1388168,"R= $404.461,66","R$1.296,82"
74,21/02/2005,1.0,2.0,3.0,004<!--= td-->,5.0,6.0,8.0,11.0,13.0,15.0,16.0,18.0,22.0,23.0,025,"R$0,00",7.0,MS MT PR SP,,MS,,MT,,PR,,SP,861,36320,325482,1342101
75,28/02/2005,1.0,3.0,4.0,005<!--= td-->,6.0,7.0,8.0,10.0,11.0,13.0,15.0,16.0,17.0,20.0,025,"R$0,00",2.0,RJ SC,,RJ,,SC,564,22764,330303,1538522,"R= $531.264,65","R$807,39","R$10,00","R$4,00"
76,07/03/2005,1.0,3.0,5.0,008<!--= td-->,9.0,10.0,12.0,13.0,15.0,16.0,17.0,19.0,21.0,23.0,025,"R$0,00",13.0,BA MG PE RJ RS SE SP,,BA,,MG,,PE,,RJ,,RS,,SE
77,14/03/2005,2.0,3.0,4.0,006<!--= td-->,8.0,9.0,11.0,14.0,17.0,18.0,20.0,21.0,22.0,24.0,025,"R$0,00",4.0,MG PR SP,,MG,,PR,,SP,742,21609,228257,1213259,"R= $434.837,87","R$1.004,63"
78,21/03/2005,1.0,2.0,3.0,005<!--= td-->,6.0,7.0,8.0,12.0,13.0,15.0,16.0,17.0,18.0,20.0,023,"R$0,00",1.0,PA,,PA,643,23291,317982,1617133,"R= $1.007.644,94","R$669,06","R$10,00","R$4,00","R$2,0= 0","R$0,00"
79,28/03/2005,1.0,2.0,3.0,005<!--= td-->,9.0,12.0,14.0,15.0,17.0,18.0,20.0,22.0,23.0,24.0,025,"R$0,00",1.0,DF,,DF,443,17526,230930,1249856,"R= $1.429.789,18","R$1.383,22","R$10,00","R$4,00","R$2= ,00","R$0,00"
80,04/04/2005,1.0,2.0,3.0,004<!--= td-->,5.0,7.0,9.0,10.0,14.0,15.0,17.0,18.0,20.0,22.0,025,"R$0,00",1.0,RN,,RN,502,19706,292151,1294632,"R= $1.387.219,92","R$1.184,31","R$10,00","R$4,00","R$2= ,00","R$0,00"
81,11/04/2005,1.0,2.0,3.0,004<!--= td-->,5.0,6.0,7.0,10.0,11.0,13.0,15.0,16.0,17.0,19.0,021,"R$0,00",6.0,BA PA PI RJ SP,,BA,,PA,,PI,,RJ,,SP,866,29787
82,18/04/2005,1.0,4.0,5.0,006<!--= td-->,8.0,9.0,12.0,13.0,15.0,17.0,18.0,19.0,20.0,22.0,023,"R$0,00",4.0,BA MA PR SP,,BA,,MA,,PR,,SP,636,20746,250768,1418972
83,25/04/2005,1.0,2.0,3.0,005<!--= td-->,6.0,8.0,10.0,11.0,12.0,13.0,14.0,20.0,23.0,24.0,025,"R$0,00",3.0,BA MS SP,,BA,,MS,,SP,505,19766,290953,1615749,"R= $370.701,93","R$943,79"
84,02/05/2005,1.0,2.0,4.0,006<!--= td-->,8.0,12.0,15.0,16.0,17.0,19.0,20.0,22.0,23.0,24.0,025,"R$0,00",2.0,RS SP,,RS,,SP,525,21813,263703,1419482,"R= $729.194,11","R$1.190,52","R$10,00","R$4,00"
85,09/05/2005,1.0,2.0,5.0,007<!--= td-->,8.0,9.0,11.0,13.0,14.0,15.0,16.0,18.0,21.0,22.0,023,"R$0,00",13.0,BA MG MT PR RJ SP,,BA,,MG,,MT,,PR,,RJ,,SP
86,16/05/2005,2.0,4.0,5.0,006<!--= td-->,8.0,9.0,12.0,13.0,14.0,17.0,18.0,19.0,23.0,24.0,025,"R$0,00",14.0,AM CE DF MG PA SP,,AM,,CE,,DF,,MG,,PA,,SP
87,23/05/2005,1.0,2.0,3.0,005<!--= td-->,8.0,9.0,10.0,11.0,13.0,15.0,18.0,20.0,22.0,24.0,025,"R$0,00",14.0,DF MG PA PR SP,,DF,,MG,,PA,,PR,,SP,1308,46044
88,30/05/2005,1.0,2.0,4.0,005<!--= td-->,8.0,9.0,10.0,11.0,12.0,14.0,17.0,18.0,19.0,24.0,025,"R$0,00",5.0,DF RJ SC SE SP,,DF,,RJ,,SC,,SE,,SP,853,30153
89,06/06/2005,1.0,6.0,11.0,012<!--= td-->,13.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,025,"R$0,00",2.0,RO SP,,RO,,SP,528,59274,230638,1266634,"R= $858.145,42","R$1.393,10","R$10,00","R$4,00"
90,13/06/2005,1.0,2.0,3.0,008<!--= td-->,10.0,11.0,12.0,15.0,17.0,20.0,21.0,22.0,23.0,24.0,025,"R$0,00",4.0,MG RJ SP,,MG,,RJ,,SP,525,17979,236987,1539050,"R= $400.382,66","R$1.307,37"
91,20/06/2005,1.0,4.0,9.0,010<!--= td-->,11.0,12.0,13.0,14.0,15.0,16.0,17.0,20.0,22.0,23.0,025,"R$0,00",2.0,AP SP,,AP,,SP,428,23937,203510,1341264,"R= $880.833,62","R$1.764,02","R$10,00","R$4,00"
92,27/06/2005,1.0,2.0,4.0,006<!--= td-->,8.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0,024,"R$0,00",5.0,MG SC SP,,MG,,SC,,SP,714,22604,257642,1433995,"R= $290.246,68","R$871,09"
93,04/07/2005,2.0,4.0,5.0,006<!--= td-->,7.0,9.0,10.0,13.0,17.0,18.0,19.0,20.0,21.0,23.0,024,"R$0,00",6.0,PE SP TO,,PE,,SP,,TO,480,18433,230658,1352474,"R= $271.483,43","R$1.454,37"
94,11/07/2005,2.0,4.0,8.0,009<!--= td-->,11.0,12.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0,23.0,024,"R$0,00",2.0,RJ SP,,RJ,,SP,573,29882,267884,1577059,"R= $694.861,30","R$1.039,43","R$10,00","R$4,00"
95,18/07/2005,1.0,2.0,3.0,004<!--= td-->,5.0,10.0,11.0,12.0,14.0,15.0,17.0,18.0,19.0,20.0,022,"R$0,00",2.0,BA DF,,BA,,DF,401,20787,231813,1294859,"R= $883.199,51","R$1.887,85","R$10,00","R$4,00"
96,25/07/2005,3.0,4.0,6.0,009<!--= td-->,10.0,12.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0,23.0,024,"R$0,00",1.0,MT,,MT,454,16790,220370,1209732,"R= $1.793.190,45","R$1.692,75","R$10,00","R$4,00","R$2= ,00","R$0,00"
97,02/08/2005,3.0,4.0,6.0,010<!--= td-->,12.0,13.0,14.0,15.0,17.0,19.0,20.0,22.0,23.0,24.0,025,"R$0,00",4.0,BA MG SP,,BA,,MG,,SP,539,19062,237912,1490877,"R= $379.485,48","R$1.206,95"
98,08/08/2005,1.0,2.0,5.0,006<!--= td-->,8.0,10.0,11.0,15.0,17.0,18.0,20.0,22.0,23.0,24.0,025,"R$0,00",5.0,MG RJ TO,,MG,,RJ,,TO,1089,31800,376336,1625070,"= R$238.130,55","R$466,80"
99,15/08/2005,1.0,2.0,3.0,004<!--= td-->,7.0,10.0,11.0,13.0,14.0,16.0,17.0,20.0,21.0,24.0,025,"R$0,00",4.0,ES MG RS SE,,ES,,MG,,RS,,SE,695,19351,227907,1278734
100,22/08/2005,1.0,3.0,4.0,008<= /td>,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,22.0,23.0,025,"R$0,00",6.0,BA SE SP,,BA,,SE,,SP,547,39008,241845,1371980,"R= $251.438,56","R$1.182,00"
