Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
455,24/08/2009,1.0,3.0,4.0,005<= /td>,6.0,7.0,8.0,11.0,12.0,14.0,18.0,19.0,21.0,23.0,025,"R$22.419.5= 02,00",8.0,MANACAPURUAM CACHOEIRO DE ITAPEMIRIMES LUZI=C3=82NIAGO S=C3=83O GABRIEL DO OESTEMS ARA=C3=87ATUBASP Ribeir=C3=A3o PretoSP SANTOSSP,MANACAPURU,AM,CACHOEIRO DE ITAPEMIRIM,ES,LUZI=C3=82NIA,GO,S=C3=83O GABRIEL DO OESTE,MS,ARA=C3=87ATUBA,SP,Ribeir=C3=A3o Preto,SP
456,27/08/2009,1.0,3.0,4.0,009<= /td>,10.0,11.0,12.0,13.0,14.0,17.0,18.0,21.0,23.0,24.0,025,"R$17.448.8= 10,00",7.0,SERRAN=C3=93POLISGO CATAGUASESMG S=C3=83O MIGUEL DO OESTESC SANTANA DE PARNA=C3=8DBASP SERT=C3=83OZINHOSP S=C3=83O PAULOSP,SERRAN=C3=93POLIS,GO,CATAGUASES,MG,S=C3=83O MIGUEL DO OESTE,SC,SANTANA DE PARNA=C3=8DBA,SP,SERT=C3=83OZINHO,SP,S=C3=83O PAULO,SP
457,31/08/2009,1.0,4.0,5.0,011<= /td>,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,025,"R$18.614.2= 64,00",1.0,S=C3=83O SEBASTI=C3=83OSP,S=C3=83O SEBASTI=C3=83O,SP,407,17580,298630,1634482,"R= $1.741.731,78","R$1.834,05","R$10,00","R$4,00","R$2= ,00","R$0,00"
458,03/09/2009,2.0,3.0,4.0,005<= /td>,6.0,7.0,8.0,9.0,11.0,13.0,15.0,16.0,18.0,20.0,022,"R$17.785.7= 32,00",5.0,CATAL=C3=83OGO RIO DE JANEIRORJ GUARUJ=C3=81SP ITANHA=C3=89MSP LEMESP,CATAL=C3=83O,GO,RIO DE JANEIRO,RJ,GUARUJ=C3=81,SP,ITANHA=C3=89M,SP,LEME,SP,855,29344
459,08/09/2009,1.0,2.0,3.0,004<= /td>,7.0,10.0,11.0,12.0,14.0,15.0,17.0,19.0,20.0,21.0,023,"R$14.705.2= 78,00",3.0,S=C3=83O LUISMA RIO DE JANEIRORJ S=C3=83O PAULOSP,S=C3=83O LUIS,MA,RIO DE JANEIRO,RJ,S=C3=83O PAULO,SP,757,31694,283370,1385273,"R= $367.854,54","R$892,53"
460,10/09/2009,1.0,3.0,4.0,006<= /td>,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,19.0,22.0,023,"R$18.291.7= 98,75",8.0,BRAS=C3=8DLIADF PAPAGAIOSMG BLUMENAUSC CAMPINASSP FRANCASP MOCOCASP S=C3=83O PAULOSP,BRAS=C3=8DLIA,DF,PAPAGAIOS,MG,BLUMENAU,SC,CAMPINAS,SP,FRANCA,SP,MOCOCA,SP
461,14/09/2009,3.0,4.0,5.0,006<= /td>,7.0,8.0,11.0,12.0,13.0,14.0,15.0,17.0,19.0,23.0,024,"R$20.409.7= 58,75",5.0,SALVADORBA CHAPAD=C3=83O DO CEUGO S=C3=83O MIGUEL DO GUAMAPA LONDRINAPR S=C3=83O PAULOSP,SALVADOR,BA,CHAPAD=C3=83O DO CEU,GO,S=C3=83O MIGUEL DO GUAMA,PA,LONDRINA,PR,S=C3=83O PAULO,SP,698,24686
462,17/09/2009,1.0,2.0,3.0,005<= /td>,7.0,8.0,12.0,14.0,16.0,17.0,18.0,21.0,22.0,23.0,024,"R$18.581.5= 86,25",0.0,,558,19875,265357,1274994,"R= $0,00","R$1.285,88","R$12,50","R$5,00","R$2,50","R$1.674.205,87","R$4.000.000,00","R$0,00"
463,21/09/2009,2.0,3.0,6.0,007<= /td>,9.0,11.0,13.0,14.0,17.0,18.0,19.0,20.0,22.0,23.0,025,"R$23.941.3= 45,00",7.0,SALVADORBA S=C3=83O LU=C3=8DS DO CURUCE CAMPINASSP HORTOL=C3=82NDIASP SorocabaSP S=C3=83O PAULOSP,SALVADOR,BA,S=C3=83O LU=C3=8DS DO CURU,CE,CAMPINAS,SP,HORTOL=C3=82NDIA,SP,Sorocaba,SP,S=C3=83O PAULO,SP
464,24/09/2009,1.0,2.0,5.0,008<= /td>,10.0,11.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,025,"R$18.733.2= 50,00",2.0,MONTE SANTOBA BELO HORIZONTEMG,MONTE SANTO,BA,BELO HORIZONTE,MG,530,23200,213995,1175939,"R= $966.866,22","R$1.563,66","R$12,50","R$5,00"
